Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,saved_path,detail_specs_html_path
HP 15 Fd0306tu A2nl7pa,hp,Intel,Core I3,1315,1.2,8,DDR4,3200,256,15.6,1920 x 1080,60,Intel,1.59,"3-cell, 41 Wh Li-ion",12490000,https://cellphones.com.vn/laptop-hp-15-fd0306tu-a2nl7pa.html,data/cellphones/raw_htmls\hp_13.html,data/cellphones/detail_htmls\hp_13_specs.html
HP Envy X360 14 Fa0045au A19bmpa,hp,AMD,Ryzen7,8840,5.1,32,LPDDR5,6400,1024,14.0,2880 x 1800,60,AMD,1.39,"3-cell, 59 Wh Li-ion polymer",35090000,https://cellphones.com.vn/laptop-hp-envy-x360-14-fa0045au-a19bmpa.html,data/cellphones/raw_htmls\hp_10.html,data/cellphones/detail_htmls\hp_10_specs.html
HP 14 Ep0220tu B73vwpa,hp,Intel,Core I3,1315,4.5,8,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000,https://cellphones.com.vn/laptop-hp-14-ep0220tu-b73vwpa.html,data/cellphones/raw_htmls\hp_11.html,data/cellphones/detail_htmls\hp_11_specs.html
HP Pavilion 15 Eg3112tu 8u6l9pa,hp,Intel,Core I7,1355,5.0,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.69,3-cell,25290000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3112tu-8u6l9pa.html,data/cellphones/raw_htmls\hp_12.html,data/cellphones/detail_htmls\hp_12_specs.html
HP 14 Dq2055wm 39k15ua,hp,Intel,Core I3,1115,,4,DDR4,2666,256,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",13990000,https://cellphones.com.vn/laptop-hp-14-dq2055wm-39k15ua.html,data/cellphones/raw_htmls\hp_14.html,data/cellphones/detail_htmls\hp_14_specs.html
HP 15 Fd0237tu,hp,Intel,Core I5,1334,4.6,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer",18390000,https://cellphones.com.vn/laptop-hp-15-fd0237tu.html,data/cellphones/raw_htmls\hp_16.html,data/cellphones/detail_htmls\hp_16_specs.html
HP 250 G9 Ag2k7at,hp,Intel,Core I5,1235,4.4,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.696,3 Cell Int (41.04Wh),19190000,https://cellphones.com.vn/laptop-hp-250-g9-ag2k7at.html,data/cellphones/raw_htmls\hp_18.html,data/cellphones/detail_htmls\hp_18_specs.html
HP Envy X360 2in1 14 Fc0086tu A19bwpa,hp,Intel,Core Ultra 7,155,80.0,32,LPDDR5,6400,512,14.0,2880 x 1800,120,Intel,1.384,3 Cell Int (59.16Wh),35290000,https://cellphones.com.vn/laptop-hp-envy-x360-2in1-14-fc0086tu-a19bwpa.html,data/cellphones/raw_htmls\hp_19.html,data/cellphones/detail_htmls\hp_19_specs.html
HP Victus 16 S0143ax 9q990pa,hp,AMD,Ryzen5,7640,5.0,32,DDR5,5600,512,16.1,1920 x 1080,144,NVIDIA,2.33,"4-cell, 70 Wh Li-ion polymer",31490000,https://cellphones.com.vn/laptop-hp-victus-16-s0143ax-9q990pa.html,data/cellphones/raw_htmls\hp_15.html,data/cellphones/detail_htmls\hp_15_specs.html
HP Envy X360 14 Fa0096au Ay8u6pa,hp,AMD,Ryzen5,8640,9.0,16,LPDDR5,6400,1024,14.0,2880 x 1800,120,AMD,1.39,"Li-ion polymer 3 lõi, 59 Wh Bộ chuyển đổi nguồn điện 65 W USB Type-C Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",30390000,https://cellphones.com.vn/laptop-hp-envy-x360-14-fa0096au-ay8u6pa.html,data/cellphones/raw_htmls\hp_17.html,data/cellphones/detail_htmls\hp_17_specs.html
HP 15 Fd0083tu 8d736pa,hp,Intel,Core I7,1355,0.0,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",22490000,https://cellphones.com.vn/laptop-hp-15-fd0083tu-8d736pa.html,data/cellphones/raw_htmls\hp_24.html,data/cellphones/detail_htmls\hp_24_specs.html
HP Pavilion 15 Eg3093tu 8c5l4pa,hp,Intel,Core I5,1335,1.3,16,DDR4,3200,512,15.6,1920 x 1080,60,Intel,1.69,"3-cell Li-ion, 41 Wh",21290000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3093tu-8c5l4pa.html,data/cellphones/raw_htmls\hp_23.html,data/cellphones/detail_htmls\hp_23_specs.html
HP 240 G9 Ag2j7at,hp,Intel,Core I5,1235,4.4,16,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.42,3 Cell Int (41.04Wh),19790000,https://cellphones.com.vn/laptop-hp-240-g9-ag2j7at.html,data/cellphones/raw_htmls\hp_21.html,data/cellphones/detail_htmls\hp_21_specs.html
HP 15 Fd1063tu 9z2y1pa,hp,Intel,Core Ultra 5,125,5.0,16,DDR5,5600,512,15.6,1920 x 1080,,Intel,1.65,"3-cell, 41 Wh Li-ion polymer Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",20990000,https://cellphones.com.vn/laptop-hp-15-fd1063tu-9z2y1pa.html,data/cellphones/raw_htmls\hp_20.html,data/cellphones/detail_htmls\hp_20_specs.html
HP Pavilion 15 Eg3111tu 8u6l8pa,hp,Intel,Core I5,1335,4.6,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.6,"3-cell, 41 Wh Li-ion",21290000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg3111tu-8u6l8pa.html,data/cellphones/raw_htmls\hp_22.html,data/cellphones/detail_htmls\hp_22_specs.html
HP Gaming Omen 16 Am0129tx Bx9d1pa,hp,Intel,Core Ultra 7,255,5.1,32,DDR5,5600,512,16.0,1920 x 1200,165,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",48890000,https://cellphones.com.vn/laptop-hp-gaming-omen-16-am0129tx-bx9d1pa.html,data/cellphones/raw_htmls\hp_26.html,data/cellphones/detail_htmls\hp_26_specs.html
HP Gaming Omen 16 Am0176tx Bx9d3pa,hp,Intel,Core Ultra 7,255,5.1,16,DDR5,5600,512,16.0,1920 x 1200,165,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",43890000,https://cellphones.com.vn/laptop-hp-gaming-omen-16-am0176tx-bx9d3pa.html,data/cellphones/raw_htmls\hp_25.html,data/cellphones/detail_htmls\hp_25_specs.html
HP Victus 16 R0376tx Ay8z2pa,hp,Intel,Core I7,13700,5.0,16,DDR5,4800,512,16.1,1920 x 1080,165,NVIDIA,2.31,"4-cell, 70 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 200 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",32690000,https://cellphones.com.vn/laptop-hp-victus-16-r0376tx-ay8z2pa.html,data/cellphones/raw_htmls\hp_27.html,data/cellphones/detail_htmls\hp_27_specs.html
HP Victus 16 R0374tx Ay8y7pa,hp,Intel,Core I5,13500,4.7,16,DDR5,4800,512,16.1,1920 x 1080,165,NVIDIA,2.334,4 Cell Int (70.07Wh),30990000,https://cellphones.com.vn/laptop-hp-victus-16-r0374tx-ay8y7pa.html,data/cellphones/raw_htmls\hp_29.html,data/cellphones/detail_htmls\hp_29_specs.html
HP Pavilion X360 14 Ek2017tu 9z2v5pa,hp,Intel,Core 5,120,5.0,16,DDR4,3200,512,14.0,1920 x 1080,,,1.4,3 Cell Int (43.3Wh),24990000,https://cellphones.com.vn/laptop-hp-pavilion-x360-14-ek2017tu-9z2v5pa.html,data/cellphones/raw_htmls\hp_28.html,data/cellphones/detail_htmls\hp_28_specs.html
HP Gaming Victus 16 S0173ax A9lg9pa,hp,AMD,Ryzen5,7640,5.0,16,DDR5,5600,512,16.1,1920 x 1080,144,NVIDIA,2.31,"4-cell, 70 Wh Li-ion polymer",27390000,https://cellphones.com.vn/laptop-hp-gaming-victus-16-s0173ax-a9lg9pa.html,data/cellphones/raw_htmls\hp_30.html,data/cellphones/detail_htmls\hp_30_specs.html
HP 15 Fd0235tu 9q970pa,hp,Intel,Core I5,1334,4.6,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"Pin Li-ion polymer 3 cell, công suất 41 Wh Bộ chuyển đổi nguồn điện AC thông minh 45 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",19190000,https://cellphones.com.vn/laptop-hp-15-fd0235tu-9q970pa.html,data/cellphones/raw_htmls\hp_31.html,data/cellphones/detail_htmls\hp_31_specs.html
HP Victus 15 Fa1139tx 8y6w3pa,hp,Intel,Core I5,12450,4.4,16,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.22,3 Cell Int (52.5Wh),24590000,https://cellphones.com.vn/laptop-hp-victus-15-fa1139tx-8y6w3pa.html,data/cellphones/raw_htmls\hp_33.html,data/cellphones/detail_htmls\hp_33_specs.html
HP 15s Fq5231tu 8u241pa,hp,Intel,Core I3,1215,1.2,8,DDR4,3200,256,15.6,1080 x 1920,,Intel,2.0,3 cell,11990000,https://cellphones.com.vn/laptop-hp-15s-fq5231tu-8u241pa.html,data/cellphones/raw_htmls\hp_34.html,data/cellphones/detail_htmls\hp_34_specs.html
HP Victus 16 S0136ax 9q984pa,hp,AMD,Ryzen5,7640,0.0,32,DDR5,5600,512,16.1,1920 x 1080,144,NVIDIA,2.31,"4 cell, 70 Wh Li-ion polime Bộ chuyển đổi nguồn điện AC thông minh 200 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút Thời lượng pin Lên đến 7 tiếng 45 phút",28990000,https://cellphones.com.vn/laptop-hp-victus-16-s0136ax-9q984pa.html,data/cellphones/raw_htmls\hp_32.html,data/cellphones/detail_htmls\hp_32_specs.html
HP Elitebook 840 G3,hp,Intel,Core I5,6300,2.4,8,DDR4,2133,256,14.0,1920 x 1080,,Intel,1.6,6-cell Lithium ion,,https://cellphones.com.vn/laptop-hp-elitebook-840-g3.html,data/cellphones/raw_htmls\hp_35.html,data/cellphones/detail_htmls\hp_35_specs.html
HP Victus 16 D0293tx 5z9r4pa,hp,Intel,Core I5,11400,2.7,8,DDR4,3200,512,16.1,1920 x 1080,,NVIDIA,2.25,"4-cell, 70 Whrs",27890000,https://cellphones.com.vn/laptop-hp-victus-16-d0293tx-5z9r4pa.html,data/cellphones/raw_htmls\hp_37.html,data/cellphones/detail_htmls\hp_37_specs.html
HP Elitebook 840 G8,hp,Intel,Core I7,1165,,16,DDR4,,512,14.0,1920 x 1080,,Intel,1.33,53 Wh Lithium-Polymer,,https://cellphones.com.vn/laptop-hp-elitebook-840-g8.html,data/cellphones/raw_htmls\hp_36.html,data/cellphones/detail_htmls\hp_36_specs.html
HP Probook 450 G9,hp,Intel,Core I5,1235,,8,DDR4,3200,512,15.6,1920 x 1080,60,Intel,1.74,"3-cell Li-ion, 51 Wh",,https://cellphones.com.vn/laptop-hp-probook-450-g9.html,data/cellphones/raw_htmls\hp_39.html,data/cellphones/detail_htmls\hp_39_specs.html
HP Pavilion 15 Eg2037tx 6k783pa,hp,Intel,Core I5,1235,,8,DDR4,3200,256,15.6,1920 x 1080,,NVIDIA,1.74,"3-cell, 41 Wh Li-ion",16300000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2037tx-6k783pa.html,data/cellphones/raw_htmls\hp_38.html,data/cellphones/detail_htmls\hp_38_specs.html
HP Probook 440 G9,hp,Intel,Core I5,1235,,8,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.38,"51 Wh, 65 W",,https://cellphones.com.vn/laptop-hp-probook-440-g9.html,data/cellphones/raw_htmls\hp_40.html,data/cellphones/detail_htmls\hp_40_specs.html
HP Envy X360 2in1 14 Fc0088tu A19bypa,hp,Intel,Core Ultra 7,155,4.8,16,LPDDR5,6400,1024,14.0,2880 x 1800,120,Intel,1.39,"Li-ion polymer 3 lõi, 59 Wh",,https://cellphones.com.vn/laptop-hp-envy-x360-2in1-14-fc0088tu-a19bypa.html,data/cellphones/raw_htmls\hp_41.html,data/cellphones/detail_htmls\hp_41_specs.html
HP Probook 450 G3,hp,Intel,Core I5,6200,2.3,4,DDR3,1600,500,15.6,1366 x 768,,Intel,2.11,44 WHr Li-ion 4-cell,,https://cellphones.com.vn/laptop-hp-probook-450-g3.html,data/cellphones/raw_htmls\hp_42.html,data/cellphones/detail_htmls\hp_42_specs.html
HP Probook 6570b,hp,Intel,Core I3,3110,2.4,4,DDR3,1600,320,15.6,1366 x 768,,Intel,2.51,6-cells 55 Wh,,https://cellphones.com.vn/laptop-hp-probook-6570b.html,data/cellphones/raw_htmls\hp_43.html,data/cellphones/detail_htmls\hp_43_specs.html
HP Elitebook 820 G3,hp,Intel,Core I5,6200,2.4,8,DDR3L,2133,256,12.5,1366 x 768,,Intel,1.28,,,https://cellphones.com.vn/laptop-hp-elitebook-820-g3.html,data/cellphones/raw_htmls\hp_44.html,data/cellphones/detail_htmls\hp_44_specs.html
HP Gaming Victus 16 E1104ax 7c0s9pa,hp,AMD,Ryzen7,6800,3.2,8,DDR5,4800,512,16.1,1920 x 1080,144,NVIDIA,2.4,70Wh,,https://cellphones.com.vn/laptop-hp-gaming-victus-16-e1104ax-7c0s9pa.html,data/cellphones/raw_htmls\hp_45.html,data/cellphones/detail_htmls\hp_45_specs.html
HP Elitebook 845 G9,hp,AMD,Ryzen5,6600,,16,DDR5,4800,256,14.0,1920 x 1200,,AMD,1.4,51Whr 3 cell,,https://cellphones.com.vn/laptop-hp-elitebook-845-g9.html,data/cellphones/raw_htmls\hp_46.html,data/cellphones/detail_htmls\hp_46_specs.html
HP Elitebook 840 G9,hp,Intel,Core I7,1260,2.1,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.36,51 Wh 3-cell Li-ion,,https://cellphones.com.vn/laptop-hp-elitebook-840-g9.html,data/cellphones/raw_htmls\hp_47.html,data/cellphones/detail_htmls\hp_47_specs.html
HP Envy X360 13 Bf0092tu 76v59pa,hp,Intel,Core I7,1250,4.7,8,LPDDR4X,4266,512,13.3,2880 x 1800,,Intel,1.34,"66 Wh Li-ion, 4-cell",,https://cellphones.com.vn/laptop-hp-envy-x360-13-bf0092tu-76v59pa.html,data/cellphones/raw_htmls\hp_49.html,data/cellphones/detail_htmls\hp_49_specs.html
HP Elitebook 8460p,hp,Intel,Core I5,2520,2.5,8,,,250,14.0,1366 x 768,,Intel,,,,https://cellphones.com.vn/laptop-hp-elitebook-8460p.html,data/cellphones/raw_htmls\hp_48.html,data/cellphones/detail_htmls\hp_48_specs.html
HP Elitebook 840 G6,hp,Intel,Core I5,8365,1.6,8,DDR4,2660,256,14.0,1920 x 1080,,Intel,1.4,,,https://cellphones.com.vn/laptop-hp-elitebook-840-g6.html,data/cellphones/raw_htmls\hp_50.html,data/cellphones/detail_htmls\hp_50_specs.html
HP Probook 6560b,hp,Intel,Core I5,2520,2.5,8,DDR3,1333,120,15.6,1366 x 768,,Intel,2.5,6-cell Li-ion,,https://cellphones.com.vn/laptop-hp-probook-6560b.html,data/cellphones/raw_htmls\hp_51.html,data/cellphones/detail_htmls\hp_51_specs.html
HP Gaming Victus 15 Fa018tx 7c0x0pa,hp,Intel,Core I7,12700,4.7,16,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.29,"4-cell, 70 Wh",,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fa018tx-7c0x0pa.html,data/cellphones/raw_htmls\hp_52.html,data/cellphones/detail_htmls\hp_52_specs.html
HP Elitebook 640 G9,hp,Intel,Core I7,1255,2.1,16,DDR4,,512,14.0,1920 x 1080,,Intel,1.38,,,https://cellphones.com.vn/laptop-hp-elitebook-640-g9.html,data/cellphones/raw_htmls\hp_53.html,data/cellphones/detail_htmls\hp_53_specs.html
HP Pavilion 15 Eg2062tx 7c0w7pa,hp,Intel,Core I5,1235,,8,DDR4,3200,512,15.6,1920 x 1080,,NVIDIA,1.75,3 Cell 41WHrs,,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2062tx-7c0w7pa.html,data/cellphones/raw_htmls\hp_55.html,data/cellphones/detail_htmls\hp_55_specs.html
HP Envy X360 2in2 2022,hp,AMD,Ryzen5,5625,4.0,8,DDR4,3200,256,15.6,,,AMD,1.77,,,https://cellphones.com.vn/laptop-hp-envy-x360-2in2-2022.html,data/cellphones/raw_htmls\hp_54.html,data/cellphones/detail_htmls\hp_54_specs.html
HP 15 Ay071tu X3b53pa,hp,Intel,Pentium,3710,,4,DDR3L,,500,15.6,1366 x 768,,Intel,2.19,4-cell Li-ion,,https://cellphones.com.vn/laptop-hp-15-ay071tu-x3b53pa.html,data/cellphones/raw_htmls\hp_57.html,data/cellphones/detail_htmls\hp_57_specs.html
HP Pavilion 15 Eg2087tu 7c0q9pa,hp,Intel,Core I3,1215,,8,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.75,3Cell 41WHrs,,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2087tu-7c0q9pa.html,data/cellphones/raw_htmls\hp_58.html,data/cellphones/detail_htmls\hp_58_specs.html
HP Pavilion 15 Eg2085tu 7c0q7pa,hp,Intel,Core I5,1240,,8,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.75,3Cell 41WHrs,,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2085tu-7c0q7pa.html,data/cellphones/raw_htmls\hp_56.html,data/cellphones/detail_htmls\hp_56_specs.html
HP 15s Du1040tx 8re77pa,hp,Intel,Core I7,10510,,8,DDR4,2666,512,15.6,1366 x 768,,NVIDIA,1.74,"3-cell, 41 Wh Li-ion",,https://cellphones.com.vn/laptop-hp-15s-du1040tx-8re77pa.html,data/cellphones/raw_htmls\hp_60.html,data/cellphones/detail_htmls\hp_60_specs.html
HP Gaming Victus 16 D1191tx 7c0s5pa,hp,Intel,Core I5,12500,3.3,16,DDR5,4800,512,16.1,1920 x 1080,144,NVIDIA,2.4,70Wh,,https://cellphones.com.vn/laptop-hp-gaming-victus-16-d1191tx-7c0s5pa.html,data/cellphones/raw_htmls\hp_59.html,data/cellphones/detail_htmls\hp_59_specs.html
HP 240 G8 518v8pa,hp,Intel,Core I5,1135,,8,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.426,3 Cell Int (41.04Wh),,https://cellphones.com.vn/laptop-hp-240-g8-518v8pa.html,data/cellphones/raw_htmls\hp_61.html,data/cellphones/detail_htmls\hp_61_specs.html
HP Pavilion 15 Eg1040tu 5z9v3pa,hp,Intel,Core I5,1155,,8,DDR4,,256,15.6,1920 x 1080,,Intel,1.74,3 Cell (41Wh),,https://cellphones.com.vn/laptop-hp-pavilion-15-eg1040tu-5z9v3pa.html,data/cellphones/raw_htmls\hp_62.html,data/cellphones/detail_htmls\hp_62_specs.html
HP 340s G7 36a43pa,hp,Intel,Core I5,1035,,8,DDR4,3200,256,14.0,1920 x 1080,,Intel,1.351,3 Cell (41.04Wh),,https://cellphones.com.vn/laptop-hp-340s-g7-36a43pa.html,data/cellphones/raw_htmls\hp_63.html,data/cellphones/detail_htmls\hp_63_specs.html
HP Dragonfly G4 A9vd6pt,hp,Intel,Core I7,1365,,32,LPDDR5,4800,1024,13.5,1920 x 1280,,Intel,1.229,6 Cell Int (68.4Wh),,https://cellphones.com.vn/laptop-hp-dragonfly-g4-a9vd6pt.html,data/cellphones/raw_htmls\hp_64.html,data/cellphones/detail_htmls\hp_64_specs.html
HP Gaming Victus 16 E1102ax 7c139pa,hp,AMD,Ryzen7,6800,3.2,16,DDR5,4800,512,16.1,1920 x 1080,144,NVIDIA,2.4,70Wh,,https://cellphones.com.vn/laptop-hp-gaming-victus-16-e1102ax-7c139pa.html,data/cellphones/raw_htmls\hp_65.html,data/cellphones/detail_htmls\hp_65_specs.html
HP Envy 16 H0205tx 7c0t2pa,hp,Intel,Core I9,12900,2.5,32,DDR5,4800,512,16.0,3840 x 2400,,NVIDIA,2.3,"6 cell 83 Wh , Pin liền",,https://cellphones.com.vn/laptop-hp-envy-16-h0205tx-7c0t2pa.html,data/cellphones/raw_htmls\hp_66.html,data/cellphones/detail_htmls\hp_66_specs.html
HP Pavilion X360 14 Ek2024tu 9z2v6pa,hp,Intel,Core 5,120,1.4,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.51,"3-cell, 43Wh, công suất bộ sạc 65 W",24990000,https://cellphones.com.vn/laptop-hp-pavilion-x360-14-ek2024tu-9z2v6pa.html,data/cellphones/raw_htmls\hp_67.html,data/cellphones/detail_htmls\hp_67_specs.html
HP 14 Ep1011tu 9z2w3pa,hp,Intel,Core 5,120,5.0,16,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.398,3 Cell Int (41.04Wh),,https://cellphones.com.vn/laptop-hp-14-ep1011tu-9z2w3pa.html,data/cellphones/raw_htmls\hp_68.html,data/cellphones/detail_htmls\hp_68_specs.html
HP Spectre X360 14 Eu0050tu A19blpa,hp,Intel,Core Ultra 7,155,80.0,32,LPDDR5,7467,1024,14.0,2880 x 1800,120,Intel,1.465,4 Cell Int (68Wh) 65W (USB-C),,https://cellphones.com.vn/laptop-hp-spectre-x360-14-eu0050tu-a19blpa.html,data/cellphones/raw_htmls\hp_69.html,data/cellphones/detail_htmls\hp_69_specs.html
HP Gaming Victus 15 Fa0110tx 7c0r3pa,hp,Intel,Core I7,12700,4.7,8,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.29,"4-cell, 70Wh Li-ion polymer",,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fa0110tx-7c0r3pa.html,data/cellphones/raw_htmls\hp_70.html,data/cellphones/detail_htmls\hp_70_specs.html
HP Gaming Victus 16 E1105ax 7c0t0pa,hp,AMD,Ryzen5,6600,4.5,16,DDR5,4800,512,16.1,1920 x 1080,144,NVIDIA,2.4,"4-cell, 70Wh Li-ion polymer",,https://cellphones.com.vn/laptop-hp-gaming-victus-16-e1105ax-7c0t0pa.html,data/cellphones/raw_htmls\hp_71.html,data/cellphones/detail_htmls\hp_71_specs.html
HP Pavilion 15 Eg2065tx 7c0q3pa I5 1235u 8gb 256gb,hp,Intel,Core I5,1235,1.3,8,DDR4,3200,256,15.6,1080 x 1920,60,NVIDIA,1.7,3 cell 41 Wh,,https://cellphones.com.vn/laptop-hp-pavilion-15-eg2065tx-7c0q3pa-i5-1235u-8gb-256gb.html,data/cellphones/raw_htmls\hp_72.html,data/cellphones/detail_htmls\hp_72_specs.html
HP 240 G8 46j53pa,hp,Intel,Core I3,1005,,8,DDR4,,512,14.0,1366 x 768,,Intel,1.47,3 Cell 65 W,,https://cellphones.com.vn/laptop-hp-240-g8-46j53pa.html,data/cellphones/raw_htmls\hp_73.html,data/cellphones/detail_htmls\hp_73_specs.html
HP 15s Fq1107tu,hp,Intel,Core I3,1005,,4,DDR4,,256,15.6,1366 x 768,,Intel,1.7,3 cell,,https://cellphones.com.vn/laptop-hp-15s-fq1107tu.html,data/cellphones/raw_htmls\hp_75.html,data/cellphones/detail_htmls\hp_75_specs.html
HP Probook 450 G2,hp,Intel,Core I5,5200,2.2,4,DDR3,1600,500,15.6,1366 x 768,,Intel,,4-cell Li-Ion,,https://cellphones.com.vn/laptop-hp-probook-450-g2.html,data/cellphones/raw_htmls\hp_74.html,data/cellphones/detail_htmls\hp_74_specs.html
