Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
HP Envy X360 14 Fa0045au A19bmpa,hp,AMD,Ryzen 7,8,5.1,32,DDR5,6400,1024,14.0,2880 x 1800,60,AMD,1.39,"3-cell, 59 Wh Li-ion polymer",35090000
HP 14 Ep0220tu B73vwpa,hp,Intel,I3,31,4.5,8,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000
HP Pavilion 15 Eg3112tu 8u6l9pa,hp,Intel,I7,13,5.0,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.69,3-cell,25290000
HP 14 Dq2055wm 39k15ua,hp,Intel,I3,31,,4,DDR4,2666,256,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",13990000
HP 15 Fd0237tu,hp,Intel,I5,51,4.6,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer",18390000
HP 250 G9 Ag2k7at,hp,Intel,I5,51,4.4,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.696,3 Cell Int (41.04Wh),19190000
HP Envy X360 2in1 14 Fc0086tu A19bwpa,hp,Intel,,,80.0,32,DDR5,6400,512,14.0,2880 x 1800,120,Intel,1.384,3 Cell Int (59.16Wh),35290000
HP Victus 16 S0143ax 9q990pa,hp,AMD,Ryzen 5,7,5.0,32,DDR5,5600,512,16.1,1920 x 1080,144,NVIDIA,2.33,"4-cell, 70 Wh Li-ion polymer",31490000
HP Envy X360 14 Fa0096au Ay8u6pa,hp,AMD,Ryzen 5,8,9.0,16,DDR5,6400,1024,14.0,2880 x 1800,120,AMD,1.39,"Li-ion polymer 3 lõi, 59 Wh Bộ chuyển đổi nguồn điện 65 W USB Type-C Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",30390000
HP 15 Fd0083tu 8d736pa,hp,Intel,I7,71,0.0,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",22490000
HP Pavilion 15 Eg3093tu 8c5l4pa,hp,Intel,I5,13,1.3,16,DDR4,3200,512,15.6,1920 x 1080,60,Intel,1.69,"3-cell Li-ion, 41 Wh",21290000
HP 240 G9 Ag2j7at,hp,Intel,I5,51,4.4,16,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.42,3 Cell Int (41.04Wh),19790000
HP 15 Fd1063tu 9z2y1pa,hp,Intel,,,5.0,16,DDR5,5600,512,15.6,1920 x 1080,,Intel,1.65,"3-cell, 41 Wh Li-ion polymer Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",20990000
HP Pavilion 15 Eg3111tu 8u6l8pa,hp,Intel,I5,51,4.6,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.6,"3-cell, 41 Wh Li-ion",21290000
HP Gaming Omen 16 Am0129tx Bx9d1pa,hp,Intel,,,5.1,32,DDR5,5600,512,16.0,1920 x 1200,165,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",48890000
HP Gaming Omen 16 Am0176tx Bx9d3pa,hp,Intel,,,5.1,16,DDR5,5600,512,16.0,1920 x 1200,165,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",43890000
HP Victus 16 R0376tx Ay8z2pa,hp,Intel,I7,71,5.0,16,DDR5,4800,512,16.1,1920 x 1080,165,NVIDIA,2.31,"4-cell, 70 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 200 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",32690000
HP Victus 16 R0374tx Ay8y7pa,hp,Intel,I5,51,4.7,16,DDR5,4800,512,16.1,1920 x 1080,165,NVIDIA,2.334,4 Cell Int (70.07Wh),30990000
HP Pavilion X360 14 Ek2017tu 9z2v5pa,hp,Intel,,,5.0,16,DDR4,3200,512,14.0,1920 x 1080,,,1.4,3 Cell Int (43.3Wh),24990000
HP Gaming Victus 16 S0173ax A9lg9pa,hp,AMD,Ryzen 5,7,5.0,16,DDR5,5600,512,16.1,1920 x 1080,144,NVIDIA,2.31,"4-cell, 70 Wh Li-ion polymer",27390000
HP 15 Fd0235tu 9q970pa,hp,Intel,I5,51,4.6,16,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"Pin Li-ion polymer 3 cell, công suất 41 Wh Bộ chuyển đổi nguồn điện AC thông minh 45 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",19190000
HP Victus 15 Fa1139tx 8y6w3pa,hp,Intel,I5,51,4.4,16,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.22,3 Cell Int (52.5Wh),24590000
HP 15s Fq5231tu 8u241pa,hp,,I3,,1.2,8,DDR4,3200,256,15.6,1080 x 1920,,Intel,2.0,3 cell,11990000
HP Victus 16 S0136ax 9q984pa,hp,AMD,Ryzen 5,7,0.0,32,DDR5,5600,512,16.1,1920 x 1080,144,NVIDIA,2.31,"4 cell, 70 Wh Li-ion polime Bộ chuyển đổi nguồn điện AC thông minh 200 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút Thời lượng pin Lên đến 7 tiếng 45 phút",28990000
HP Elitebook 840 G3,hp,Intel,I5,63,2.4,8,DDR4,2133,256,14.0,1920 x 1080,,Intel,1.6,6-cell Lithium ion,
HP Victus 16 D0293tx 5z9r4pa,hp,Intel,I5,51,2.7,8,DDR4,3200,512,16.1,1920 x 1080,,NVIDIA,2.25,"4-cell, 70 Whrs",27890000
HP Elitebook 840 G8,hp,Intel,I7,11,,16,DDR4,,512,14.0,1920 x 1080,,Intel,1.33,53 Wh Lithium-Polymer,
HP Probook 450 G9,hp,Intel,I5,12,,8,DDR4,3200,512,15.6,1920 x 1080,60,Intel,1.74,"3-cell Li-ion, 51 Wh",
HP Pavilion 15 Eg2037tx 6k783pa,hp,Intel,I5,51,,8,DDR4,3200,256,15.6,1920 x 1080,,NVIDIA,1.74,"3-cell, 41 Wh Li-ion",16300000
HP Probook 440 G9,hp,Intel,I5,12,,8,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.38,"51 Wh, 65 W",
HP Envy X360 2in1 14 Fc0088tu A19bypa,hp,Intel,,,4.8,16,DDR5,6400,1024,14.0,2880 x 1800,120,Intel,1.39,"Li-ion polymer 3 lõi, 59 Wh",
HP Probook 450 G3,hp,Intel,I5,62,2.3,4,DDR3,1600,500,15.6,1366 x 768,,Intel,2.11,44 WHr Li-ion 4-cell,
HP Probook 6570b,hp,Intel,I3,33,2.4,4,DDR3,1600,320,15.6,1366 x 768,,Intel,2.51,6-cells 55 Wh,
HP Elitebook 820 G3,hp,Intel,I5,62,2.4,8,DDR3,2133,256,12.5,1366 x 768,,Intel,1.28,,
HP Gaming Victus 16 E1104ax 7c0s9pa,hp,AMD,Ryzen 7,6,3.2,8,DDR5,4800,512,16.1,1920 x 1080,,NVIDIA,2.4,70Wh,
HP Elitebook 845 G9,hp,AMD,Ryzen 5,6,,16,DDR5,4800,256,14.0,1920 x 1200,,AMD,1.4,51Whr 3 cell,
HP Elitebook 840 G9,hp,Intel,I7,12,2.1,16,DDR5,,512,14.0,1920 x 1200,60,Intel,1.36,51 Wh 3-cell Li-ion,
HP Envy X360 13 Bf0092tu 76v59pa,hp,Intel,I7,71,4.7,8,DDR4,4266,512,13.3,2880 x 1800,,Intel,1.34,"66 Wh Li-ion, 4-cell",
HP Elitebook 8460p,hp,Intel,I5,52,2.5,8,,,250,14.0,1366 x 768,,Intel,,,
HP Elitebook 840 G6,hp,Intel,I5,83,1.6,8,DDR4,2660,256,14.0,1920 x 1080,,Intel,1.4,,
HP Probook 6560b,hp,Intel,I5,52,2.5,,DDR3,1333,120,15.6,1366 x 768,,Intel,2.5,6-cell Li-ion,
HP Gaming Victus 15 Fa018tx 7c0x0pa,hp,Intel,I7,71,4.7,16,DDR4,3200,512,15.6,1920 x 1080,,NVIDIA,2.29,"4-cell, 70 Wh",
HP Elitebook 640 G9,hp,Intel,I7,12,2.1,16,DDR4,,512,14.0,1920 x 1080,,Intel,1.38,,
HP Pavilion 15 Eg2062tx 7c0w7pa,hp,Intel,I5,51,,8,DDR4,3200,512,15.6,1920 x 1080,,NVIDIA,1.75,3 Cell 41WHrs,
HP Envy X360 2in2 2022,hp,AMD,,5,4.0,8,DDR4,3200,256,15.6,,,AMD,1.77,,
HP 15 Ay071tu X3b53pa,hp,Intel,,37,,4,DDR3,,500,15.6,1366 x 768,,Intel,2.19,4-cell Li-ion,
HP Pavilion 15 Eg2087tu 7c0q9pa,hp,Intel,I3,31,,8,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.75,3Cell 41WHrs,
HP Pavilion 15 Eg2085tu 7c0q7pa,hp,Intel,I5,51,,8,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.75,3Cell 41WHrs,
HP 15s Du1040tx 8re77pa,hp,Intel,I7,10,,8,DDR4,2666,512,15.6,1366 x 768,,NVIDIA,1.74,"3-cell, 41 Wh Li-ion",
HP Gaming Victus 16 D1191tx 7c0s5pa,hp,Intel,I5,12,3.3,16,DDR5,4800,512,16.1,1920 x 1080,,NVIDIA,2.4,70Wh,
HP 240 G8 518v8pa,hp,Intel,I5,11,,8,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.426,3 Cell Int (41.04Wh),
HP Pavilion 15 Eg1040tu 5z9v3pa,hp,Intel,I5,51,,8,DDR4,,256,15.6,1920 x 1080,,Intel,1.74,3 Cell (41Wh),
HP 340s G7 36a43pa,hp,Intel,I5,51,,8,DDR4,3200,256,14.0,1920 x 1080,,Intel,1.351,3 Cell (41.04Wh),
HP Dragonfly G4 A9vd6pt,hp,Intel,I7,71,,32,DDR5,4800,1024,13.5,1920 x 1280,,Intel,1.229,6 Cell Int (68.4Wh),
HP Gaming Victus 16 E1102ax 7c139pa,hp,AMD,Ryzen 7,6,3.2,16,DDR5,4800,512,16.1,1920 x 1080,,NVIDIA,2.4,70Wh,
HP Envy 16 H0205tx 7c0t2pa,hp,Intel,I9,91,2.5,32,DDR5,4800,512,16.0,3840 x 2400,,NVIDIA,2.3,"6 cell 83 Wh , Pin liền",
HP Pavilion X360 14 Ek2024tu 9z2v6pa,hp,Intel,,,1.4,16,DDR4,3200,512,14.0,1920 x 1080,60,Intel,1.51,"3-cell, 43Wh, công suất bộ sạc 65 W",24990000
HP 14 Ep1011tu 9z2w3pa,hp,Intel,,,5.0,16,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.398,3 Cell Int (41.04Wh),
HP Spectre X360 14 Eu0050tu A19blpa,hp,Intel,,,80.0,32,DDR5,7467,1024,14.0,2880 x 1800,120,Intel,1.465,4 Cell Int (68Wh) 65W (USB-C),
HP Gaming Victus 15 Fa0110tx 7c0r3pa,hp,Intel,I7,12,4.7,8,DDR4,3200,512,15.6,1920 x 1080,,NVIDIA,2.29,"4-cell, 70Wh Li-ion polymer",
HP Gaming Victus 16 E1105ax 7c0t0pa,hp,AMD,Ryzen 5,6,4.5,16,DDR5,4800,512,16.1,1920 x 1080,,NVIDIA,2.4,"4-cell, 70Wh Li-ion polymer",
HP Pavilion 15 Eg2065tx 7c0q3pa I5 1235u 8gb 256gb,hp,Intel,I5,51,1.3,8,DDR4,3200,256,15.6,1080 x 1920,60,NVIDIA,1.7,3 cell 41 Wh,
HP 240 G8 46j53pa,hp,Intel,I3,10,,8,DDR4,,512,14.0,1366 x 768,,Intel,1.47,3 Cell 65 W,
HP 15s Fq1107tu,hp,Intel,I3,10,,4,DDR4,,256,15.6,1366 x 768,,Intel,1.7,3 cell,
HP Probook 450 G2,hp,Intel,I5,52,2.2,4,DDR3,1600,500,15.6,1366 x 768,,Intel,,4-cell Li-Ion,
HP Probook 4540s,hp,Intel,I5,52,2.5,4,DDR3,1333,500,15.6,1366 x 768,,Intel,2.47,"6-cells, 47 Wh (Li-Ion)",
HP Pavilion X360 14 Dy0076tu 46l93pa,hp,Intel,I7,71,,8,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.52,3 Cell Int (43.3Wh),
HP Pavilion 15 Eg0509tu 46m08pa,hp,Intel,I3,11,,4,DDR4,,512,15.6,1920 x 1080,,Intel,1.662,3 Cell 45 W,
HP 15s Du3591tu,hp,Intel,I5,11,,8,DDR4,,512,15.6,1366 x 768,,Intel,1.75,"3-cell Li-ion, 41 Wh",
HP 15s Fq1111tu 193r0pa,hp,Intel,I3,10,,4,DDR4,,256,15.6,1920 x 1080,,Intel,1.69,3-cell Li-ion,
HP 340s G7 224l0pa,hp,Intel,I3,31,,4,DDR4,,512,14.0,1366 x 768,,Intel,1.337,3 Cell (41.04Wh),
HP Gaming Victus 16 D1187tx 7c0s4pa,hp,Intel,I7,12,4.7,8,DDR5,4800,512,16.1,1920 x 1080,,NVIDIA,2.46,"4-cell, 70Wh Li-ion polymer",
HP 240 G9 6l1x3pa,hp,Intel,I3,31,1.2,8,DDR4,3200,,14.0,1080 x 1920,,Intel,1.5,3 cell 80 Wh,
HP Omen 16 Wf1139tx A2ns1pa,hp,Intel,I7,71,5.0,32,DDR5,5600,1024,16.1,2560 x 1440,240,NVIDIA,2.39,"6-cell, 83 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 280 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",
HP Gaming Victus 16 D1193tx 7c138pa,hp,Intel,I5,51,3.3,8,DDR5,4800,512,16.1,1920 x 1080,,NVIDIA,2.4,70Wh,
HP Gaming Victus 16 E0170ax 4r0u7pa,hp,AMD,Ryzen 7,5,,8,DDR4,3200,512,16.1,1920 x 1080,,NVIDIA,2.46,"4-cell Li-ion, 70 Wh",24990000
HP Gaming Victus 15 Fb1022ax 94f19pa,hp,AMD,Ryzen 5,7,4.5,16,DDR5,4800,512,15.6,1920 x 1080,,NVIDIA,2.29,"52.5 Wh, 3 Cell",
LENOVO Loq 15irx10 83je00pevn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.4,"60Wh, 170W Slim Tip (3-pin)",33990000
LENOVO Loq 15iax9e 83lk0079vn,lenovo,Intel,I5,51,4.4,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,1.77,57Wh 135W Slim Tip (3-pin),22090000
LENOVO Loq 15arp9 83jc00m3vn,lenovo,AMD,Ryzen 5,7,4.2,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,"60Wh, 170W Slim Tip (3-pin)",24490000
LENOVO Ideapad Slim 3 15abr8 82xm00mdvn,lenovo,AMD,Ryzen 5,5,4.3,16,DDR4,3200,1024,15.6,1920 x 1080,,AMD,1.62,47Wh (Đầu tròn 65W (3 chân)),14290000
LENOVO Ideapad Slim 3 14irh10 83k00008vn,lenovo,Intel,I5,51,4.6,16,DDR5,4800,1024,14.0,1920 x 1200,,Intel,1.43,60Wh (Đầu tròn 65W (3 chân),16990000
LENOVO Thinkpad E14 Gen 7 21t90021va,lenovo,Intel,,,5.2,16,DDR5,5600,1024,14.0,1920 x 1200,60,Intel,1.34,"48Wh, 65W USB-C (3-pin)",24890000
LENOVO Ideapad Slim 5 14q8x9 83hl005avn,lenovo,,,,3.0,16,DDR5,8448,1024,14.0,1920 x 1200,,,1.48,"57Wh, 65W USB-C Slim (Wall-mount)",20990000
LENOVO Loq 15ahp10 83jg0047vn,lenovo,AMD,Ryzen 7,2,5.1,16,DDR5,5600,1024,15.6,1920 x 1080,144,NVIDIA,2.4,"60Wh, 170W Slim Tip (3-pin)",32490000
LENOVO Legion 7 16iax10 83ky001vvn,lenovo,Intel,,,5.4,32,DDR5,5600,1024,16.0,2560 x 1600,240,NVIDIA,2.0,"84Wh, 245W Slim Tip (3-pin)",70990000
LENOVO Ideapad Slim 3 16irh10 83k20002vn,lenovo,Intel,I5,51,4.6,16,DDR5,4800,1024,16.0,1920 x 1200,60,Intel,1.73,60Wh (Đầu tròn 65W (3 chân)),16990000
LENOVO Legion 5 15irx10 83ly00hrvn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,15.3,1920 x 1200,165,NVIDIA,2.1,"80Wh, 245W Slim Tip (3-pin)",36990000
LENOVO Loq 15arp9 83jc00lvvn,lenovo,AMD,Ryzen 5,7,4.2,16,DDR5,4800,1024,15.6,1920 x 1080,144,NVIDIA,2.38,"60Wh, 170W Slim Tip (3-pin)",23490000
LENOVO Thinkpad L16 Gen 2 21sa000fva,lenovo,Intel,,,4.8,16,DDR5,5600,2048,16.0,1920 x 1200,60,Intel,1.79,"46.5Wh, 65W USB-C (3-pin)",24090000
LENOVO Ideapad Slim 5 14akp10 83hx001jvn RYZEN Ai 7,lenovo,AMD,,3,5.0,32,DDR5,5600,1024,14.0,1920 x 1200,,AMD,1.39,60Wh (65W USB-C Slim (Wall-mount)),27990000
LENOVO Ideapad Slim 5 15arp10 83j3002svn,lenovo,AMD,Ryzen 7,7,4.75,32,DDR5,6400,1024,15.1,2560 x 1600,165,AMD,1.49,70Wh (65W USB-C Slim (Gắn tường)),23490000
LENOVO Thinkpad E14 Gen 7 21t90022va,lenovo,Intel,,,5.2,16,DDR5,5600,1024,14.0,1920 x 1200,60,Intel,1.34,"48Wh, 65W USB-C (3-pin)",25990000
LENOVO V15 G4 Iru 83cc0041vn,lenovo,Intel,I5,51,4.6,16,DDR4,3200,1024,15.6,1920 x 1080,,Intel,1.65,"38Wh, 65W USB-C (3-pin)",14790000
LENOVO Ideapad Slim 3 15irh10 83k1000gvn,lenovo,Intel,I5,51,4.6,24,DDR5,4800,1024,15.3,1920 x 1200,60,Intel,1.63,60Wh (Đầu tròn 65W (3 chân)),17990000
LENOVO Ideapad Slim 5 15arp10 83j3001dvn,lenovo,AMD,Ryzen 7,7,4.75,16,DDR5,6400,1024,15.1,2560 x 1600,165,AMD,1.49,"70Wh, 65W USB-C Slim (Wall-mount)",21090000
LENOVO Thinkpad X1 Carbon Gen 13 Aura Edition 21nx0039vn,lenovo,Intel,,,5.1,32,DDR5,8400,2048,14.0,1920 x 1200,60,Intel,1.006,"57Wh, 65W USB-C Slim GaN (3-pin)",55890000
LENOVO Thinkpad L16 Gen 2 21sa000gva,lenovo,Intel,,,4.8,16,DDR5,5600,1024,16.0,1920 x 1200,60,Intel,1.79,"46.5Wh, 65W USB-C (3-pin)",25190000
LENOVO Thinkpad E16 Gen 3 21sr002nvn,lenovo,Intel,,,4.9,16,DDR5,5600,512,16.0,1920 x 1200,60,Intel,1.63,"48Wh, 65W USB-C (3-pin)",25390000
LENOVO V14 G4 Iru 83a000fnvn,lenovo,Intel,I5,51,4.6,16,DDR4,3200,1024,14.0,1920 x 1080,,Intel,1.43,"38Wh, 65W USB-C (3-pin)",14590000
LENOVO Legion Pro 5 16iax10 83f3002gvn,lenovo,Intel,,,5.4,32,DDR5,5600,1024,16.0,2560 x 1600,165,NVIDIA,2.43,"80Wh, 245W Slim Tip (3-pin)",59990000
LENOVO Yoga Pro 7 14iah10 83kf002bvn,lenovo,Intel,,,5.4,32,DDR5,8533,1024,14.5,3000 x 1876,120,Intel,1.54,"84Wh, 100W USB-C Slim (3-pin)",39990000
LENOVO Yoga Slim 7 14ill10 83jx0086vn,lenovo,Intel,,,4.5,16,DDR5,8533,1024,14.0,2880 x 1800,120,Intel,1.19,"70Wh, 65W USB-C Slim (2-pin, Wall-mount)",29490000
LENOVO Ideapad Slim 3 14arp10 83k6000avn,lenovo,AMD,Ryzen 5,7,4.45,16,DDR5,4800,1024,14.0,1920 x 1200,,AMD,1.43,"60Wh, 65W Round Tip (3-pin)",15990000
LENOVO V14 G3 Iap 82ts00ayvn,lenovo,Intel,I5,51,4.4,16,DDR4,3200,256,14.0,1920 x 1080,,Intel,1.43,"38Wh, 65W Round Tip (3-pin)",13990000
LENOVO Thinkbook 14 G8 Irl 21sg007rvn,lenovo,Intel,,,4.8,16,DDR5,5600,1024,14.0,1920 x 1200,60,Intel,1.36,"45Wh, 65W USB-C (3-pin)",22990000
LENOVO Ideapad Slim 3 14irh10 83k00009vn,lenovo,Intel,I7,71,4.9,24,DDR5,4800,1024,14.0,1920 x 1200,,Intel,1.43,60Wh (Đầu tròn 65W (3 chân),20990000
LENOVO Ideapad Slim 3 15irh10 83k1000jvn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,15.3,1920 x 1200,60,Intel,1.63,60Wh (Đầu tròn 65W (3 chân)),19990000
LENOVO Legion 5 15irx10 83ly00hwvn,lenovo,Intel,I7,71,5.5,16,DDR5,5600,1024,15.1,2560 x 1600,165,NVIDIA,1.9,"80Wh, 245W Slim Tip (3-pin)",43990000
LENOVO Thinkbook 16 G8 Irl 21sh0093va,lenovo,Intel,,,4.8,16,DDR5,5600,2048,16.0,1920 x 1200,60,Intel,1.7,"45Wh, 65W USB-C (3-pin)",20690000
LENOVO Thinkpad X9 14 Gen 1 21qa006lvn,lenovo,Intel,,,4.8,32,DDR5,8533,1024,14.0,2880 x 1800,120,Intel,1.27,55Wh (65W USB-C Slim GaN (3 chân)),55990000
LENOVO Thinkpad E16 Gen 3 21sr002gva,lenovo,Intel,,,4.9,16,DDR5,5600,512,16.0,1920 x 1200,60,Intel,1.63,"48Wh, 65W USB-C (3-pin)",24190000
LENOVO Yoga Slim 7 14imh9 83cv00ajvn,lenovo,Intel,,,4.8,32,DDR5,7467,1024,14.0,1920 x 1200,60,Intel,1.39,65Wh (65W USB-C Slim (Wall-mount)),29490000
LENOVO Thinkbook 16 G8 Irl 21sh0094va,lenovo,Intel,,,4.8,16,DDR5,5600,1024,16.0,1920 x 1200,60,Intel,1.7,"45Wh, 65W USB-C (3-pin)",21190000
LENOVO Ideapad Slim 3 14irh10 83k0000avn,lenovo,Intel,I5,51,4.6,24,DDR5,4800,1024,14.0,1920 x 1200,,Intel,1.43,60Wh (Đầu tròn 65W (3 chân)),17990000
LENOVO Thinkbook 14 G8 Irl 21sg007tvn,lenovo,Intel,,,5.2,16,DDR5,5600,2048,14.0,1920 x 1200,60,Intel,1.36,"45Wh, 65W USB-C (3-pin)",24290000
LENOVO Thinkpad X1 Carbon Gen 13 Aura Edition 21nx003bvn,lenovo,Intel,,,5.1,32,DDR5,8400,1024,14.0,2880 x 1800,120,Intel,1.006,"57Wh, 65W USB-C Slim GaN (3-pin)",61990000
LENOVO Ideapad Slim 3 15abr8 82xm00mcvn,lenovo,AMD,Ryzen 7,5,4.5,16,DDR4,3200,1024,15.6,1920 x 1080,,AMD,1.62,47Wh (Đầu tròn 65W (3 chân)),16190000
LENOVO Ideapad Flex 5 14abr8 82xx00fvvn,lenovo,AMD,Ryzen 5,5,4.3,16,DDR4,4266,1024,14.0,1920 x 1200,60,AMD,1.55,52.5Wh (65W Round Tip (3-pin)),16990000
LENOVO Legion 5 15ahp10 83m00030vn,lenovo,AMD,Ryzen 7,2,5.1,24,DDR5,5600,1024,15.1,2560 x 1600,165,NVIDIA,1.9,"80Wh, 245W Slim Tip (3-pin)",43990000
LENOVO Ideadpad Slim 3 14irh10 83k00007vn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,14.0,1920 x 1200,,Intel,1.43,60Wh (Đầu tròn 65W (3 chân)),19990000
LENOVO Ideapad Slim 5 14q8x9 83hl000kvn,lenovo,,,,3.4,16,DDR5,8448,1024,14.0,1920 x 1200,,,1.48,57Wh,24990000
LENOVO Ideapad Slim 3 15irh10 83k1002nvn,lenovo,Intel,I5,51,4.6,24,DDR5,4800,1024,15.1,2560 x 1600,165,Intel,1.49,60Wh Đầu tròn 65W (3 chân),21490000
LENOVO Ideapad Slim 3 15q8x10 83n3002pvn,lenovo,,,,3.0,16,DDR5,8448,1024,15.3,1920 x 1200,,,1.55,"60Wh, 65W Round Tip (3-pin)",17990000
LENOVO Thinkbook 16 G8 Irl 21sh0099vn,lenovo,Intel,,,5.2,16,DDR5,5600,2048,16.0,1920 x 1200,60,Intel,1.7,"45Wh, 65W USB-C (3-pin)",24890000
LENOVO Ideapad Slim 3 14irh10 83k0000bvn,lenovo,Intel,I5,51,4.6,16,DDR5,4800,512,14.0,1920 x 1200,60,Intel,1.33,Đầu tròn 65W (3 chân),19490000
LENOVO Thinkpad E14 Gen 7 21sx002yvn,lenovo,Intel,,,5.1,16,DDR5,5600,512,14.0,1920 x 1200,60,Intel,1.34,"48Wh, 65W USB-C (3-pin)",29690000
LENOVO Legion 5 15irx10 83ly00hqvn,lenovo,Intel,I7,71,4.9,16,DDR5,4800,1024,15.3,1920 x 1200,165,NVIDIA,2.1,"80Wh, 245W Slim Tip (3-pin)",39990000
LENOVO Legion 5 15irx10 83ly004gvn,lenovo,Intel,I7,71,5.5,24,DDR5,4800,1024,15.1,2560 x 1600,165,NVIDIA,1.9,"80Wh, 245W Slim Tip (3-pin)",51490000
LENOVO Thinkbook 14 G8 Irl 21sg007svn,lenovo,Intel,,,4.8,16,DDR5,5600,2048,14.0,1920 x 1200,60,Intel,1.36,"45Wh, 65W USB-C (3-pin)",21990000
